verdura,estacion
acelga,otoño
berenjena,otoño
brócoli,otoño
calabaza,otoño
cebolla,otoño
espinaca,otoño
lechuga,otoño
repollo,otoño
zapallo,otoño
acelga,invierno
brócoli,invierno
espinaca,invierno
lechuga,invierno
papa,invierno
repollo,invierno
ajo,invierno
arvejas,invierno
radicheta,invierno
puerro,invierno
acelga,primavera
alcaucil,primavera
coliflor,primavera
espinaca,primavera
radicheta,primavera
remolacha,primavera
repollo,primavera
zapallito verde,primavera
berenjena,verano
calabaza,verano
pimiento o morrón,verano
pepino,verano
tomate,verano
zapallito verde,verano
zapallo,verano